taxonKey,genus,species,decimalLatitude,decimalLongitude,country,coordinateUncertaintyInMeters,year,month,day
2684940,Araucaria,Araucaria angustifolia,-29.582904,-51.157494,Brazil,,2023.0,1.0,4.0
2684940,Araucaria,Araucaria angustifolia,-28.444145,-50.024535,Brazil,3526.0,2023.0,1.0,21.0
2684940,Araucaria,Araucaria angustifolia,-23.457291,-46.772035,Brazil,2984.0,2023.0,1.0,29.0
2684940,Araucaria,Araucaria angustifolia,-20.344183,-40.676112,Brazil,,2023.0,1.0,12.0
2684940,Araucaria,Araucaria angustifolia,-25.496319,-48.981167,Brazil,202.0,2023.0,2.0,4.0
2684940,Araucaria,Araucaria angustifolia,-25.551132,-54.508694,Brazil,,2023.0,2.0,5.0
2684940,Araucaria,Araucaria angustifolia,-27.018258,-50.9268,Brazil,73.0,2023.0,2.0,19.0
2684940,Araucaria,Araucaria angustifolia,-27.015767,-50.925322,Brazil,118.0,2023.0,2.0,19.0
2684940,Araucaria,Araucaria angustifolia,-21.718944,-43.925216,Brazil,565.0,2023.0,2.0,20.0
2684940,Araucaria,Araucaria angustifolia,-25.348725,-51.464253,Brazil,4.0,2023.0,2.0,28.0
2684940,Araucaria,Araucaria angustifolia,-29.238835,-52.073827,Brazil,,2023.0,2.0,26.0
2684940,Araucaria,Araucaria angustifolia,-25.148065,-51.09292,Brazil,4.0,2023.0,3.0,4.0
2684940,Araucaria,Araucaria angustifolia,-26.146604,-52.71007,Brazil,1023.0,2023.0,3.0,6.0
2684940,Araucaria,Araucaria angustifolia,-23.33649,-45.146172,Brazil,4.0,2023.0,3.0,17.0
2684940,Araucaria,Araucaria angustifolia,-26.998258,-49.135666,Brazil,,2023.0,3.0,22.0
2684940,Araucaria,Araucaria angustifolia,-22.767029,-45.602043,Brazil,1768.0,2023.0,3.0,23.0
2684940,Araucaria,Araucaria angustifolia,-22.39473,-42.485662,Brazil,4.0,2023.0,3.0,26.0
2684940,Araucaria,Araucaria angustifolia,-29.022775,-51.179742,Brazil,57.0,2023.0,3.0,14.0
2684940,Araucaria,Araucaria angustifolia,-21.953646,-43.916011,Brazil,2.0,2023.0,3.0,18.0
2684940,Araucaria,Araucaria angustifolia,-29.497638,-50.743558,Brazil,27.0,2023.0,3.0,12.0
2684940,Araucaria,Araucaria angustifolia,-25.559178,-54.576098,Brazil,4.0,2023.0,3.0,1.0
2684940,Araucaria,Araucaria angustifolia,-25.441119,-49.238531,Brazil,23.0,2023.0,3.0,6.0
2684940,Araucaria,Araucaria angustifolia,-29.512755,-50.77715,Brazil,31.0,2023.0,4.0,1.0
