taxonKey,genus,species,decimalLatitude,decimalLongitude,country,coordinateUncertaintyInMeters,year,month,day
7294715,Cordia,Cordia superba,-20.266517,-43.475858,Brazil,2035.0,2023.0,1.0,12.0
7294715,Cordia,Cordia superba,-13.029167,-39.605278,Brazil,,2023.0,1.0,29.0
7294715,Cordia,Cordia superba,-22.967778,-43.226111,Brazil,,2023.0,3.0,8.0
7294715,Cordia,Cordia superba,-22.954183,-43.028967,Brazil,8.0,2023.0,4.0,23.0
7294715,Cordia,Cordia superba,-23.64412,-46.623397,Brazil,10.0,2023.0,4.0,27.0
7294715,Cordia,Cordia superba,-22.741024,-47.174301,Brazil,13584.0,2023.0,6.0,12.0
7294715,Cordia,Cordia superba,-6.081825,-35.184687,Brazil,4.0,2023.0,7.0,1.0
7294715,Cordia,Cordia superba,-13.620556,-41.764444,Brazil,,2022.0,1.0,20.0
7294715,Cordia,Cordia superba,-21.472121,-47.362571,Brazil,25.0,2022.0,1.0,1.0
7294715,Cordia,Cordia superba,-21.053859,-49.370259,Brazil,16.0,2022.0,1.0,14.0
7294715,Cordia,Cordia superba,-23.58663,-46.65437,Brazil,,2022.0,1.0,15.0
7294715,Cordia,Cordia superba,-22.706838,-47.6489,Brazil,2.0,2022.0,1.0,16.0
7294715,Cordia,Cordia superba,-23.189685,-47.31921,Brazil,16.0,2022.0,1.0,22.0
7294715,Cordia,Cordia superba,-20.083845,-43.988773,Brazil,11.0,2022.0,1.0,27.0
7294715,Cordia,Cordia superba,-22.715433,-46.797959,Brazil,,2022.0,2.0,6.0
7294715,Cordia,Cordia superba,-21.483063,-47.556822,Brazil,11.0,2022.0,2.0,27.0
7294715,Cordia,Cordia superba,-11.366666,-46.920555,Brazil,,2022.0,3.0,15.0
7294715,Cordia,Cordia superba,-11.366667,-46.920556,Brazil,,2022.0,3.0,15.0
7294715,Cordia,Cordia superba,-22.637249,-42.579881,Brazil,6.0,2022.0,3.0,2.0
7294715,Cordia,Cordia superba,-23.664464,-46.997676,Brazil,14.0,2022.0,3.0,19.0
7294715,Cordia,Cordia superba,-23.590752,-46.66083,Brazil,18.0,2022.0,3.0,21.0
7294715,Cordia,Cordia superba,-23.590933,-46.660938,Brazil,13.0,2022.0,3.0,28.0
7294715,Cordia,Cordia superba,-23.304887,-47.283201,Brazil,,2022.0,3.0,31.0
7294715,Cordia,Cordia superba,-23.591509,-46.660389,Brazil,100.0,2022.0,4.0,22.0
7294715,Cordia,Cordia superba,-22.711442,-47.629915,Brazil,32.0,2022.0,4.0,4.0
7294715,Cordia,Cordia superba,-23.485524,-46.519906,Brazil,10.0,2022.0,4.0,6.0
7294715,Cordia,Cordia superba,-7.194415,-35.859423,Brazil,9.0,2022.0,4.0,14.0
7294715,Cordia,Cordia superba,-23.519188,-46.682197,Brazil,27.0,2022.0,4.0,16.0
7294715,Cordia,Cordia superba,-23.084343,-47.193015,Brazil,6.0,2022.0,4.0,26.0
7294715,Cordia,Cordia superba,-22.983864,-43.206001,Brazil,8.0,2022.0,5.0,17.0
7294715,Cordia,Cordia superba,-22.894437,-43.179163,Brazil,14.0,2022.0,5.0,3.0
7294715,Cordia,Cordia superba,-22.901928,-43.225636,Brazil,2.0,2022.0,5.0,6.0
7294715,Cordia,Cordia superba,-20.126673,-44.2208,Brazil,48.0,2022.0,5.0,7.0
7294715,Cordia,Cordia superba,-23.364758,-46.191313,Brazil,11.0,2022.0,5.0,16.0
7294715,Cordia,Cordia superba,-23.609613,-46.847084,Brazil,804.0,2022.0,6.0,2.0
7294715,Cordia,Cordia superba,-23.557601,-46.756033,Brazil,1044.0,2022.0,6.0,10.0
7294715,Cordia,Cordia superba,-22.99237,-43.651108,Brazil,5.0,2022.0,6.0,13.0
